company,salaries,interviews,review,jobs,benefits,location
TCS,990000.0,11900.0,110000.0,3500.0,10600.0,IT Services & Consulting | Bengaluru +439 other locations
Accenture,660000.0,9300.0,72400.0,28800.0,6700.0,IT Services & Consulting | Bengaluru +257 other locations
Wipro,480000.0,6800.0,64300.0,448.0,4600.0,IT Services & Consulting | Hyderabad +371 other locations
Cognizant,600000.0,6400.0,60600.0,474.0,5500.0,IT Services & Consulting | Hyderabad +232 other locations
Capgemini,480000.0,5500.0,52300.0,2600.0,3700.0,IT Services & Consulting | Bengaluru +182 other locations
HDFC Bank,150000.0,3000.0,51500.0,386.0,3200.0,Banking | Mumbai +1839 other locations
Infosys,520000.0,8400.0,48100.0,2500.0,4800.0,IT Services & Consulting | Bengaluru +248 other locations
ICICI Bank,150000.0,2900.0,45400.0,15.0,3700.0,Banking | Mumbai +1441 other locations
HCLTech,380000.0,4500.0,45300.0,280.0,3800.0,IT Services & Consulting | Chennai +232 other locations
Tech Mahindra,280000.0,4500.0,42800.0,665.0,3400.0,IT Services & Consulting | Hyderabad +331 other locations
Genpact,230000.0,3800.0,41500.0,902.0,3500.0,Analytics & KPO | Hyderabad +181 other locations
TP,97400.0,2200.0,37700.0,2100.0,1800.0,BPO | Mumbai +256 other locations
Jio,62600.0,4300.0,33500.0,1.0,2500.0,Telecom | Mumbai +1970 other locations
Axis Bank,100000.0,1900.0,32700.000000000004,232.0,2100.0,Banking | Mumbai +1513 other locations
Concentrix Corporation,130000.0,2000.0,31800.0,40.0,3100.0,BPO | Bengaluru +179 other locations
Amazon,150000.0,5900.0,31200.0,2100.0,3600.0,Internet | Bengaluru +522 other locations
Reliance Retail,76600.0,1900.0,27200.0,137.0,1800.0,Retail | Mumbai +1156 other locations
iEnergizer,24400.0,1400.0,27100.0,93.0,430.0,BPO | Noida +52 other locations
LTIMindtree,190000.0,3400.0,26100.0,352.0,777.0,IT Services & Consulting | Bengaluru +145 other locations
IBM,210000.0,2600.0,25500.0,2000.0,2600.0,IT Services & Consulting | Bengaluru +161 other locations
HDB Financial Services,49800.0,1100.0,25400.0,2100.0,1500.0,NBFC | Mumbai +1093 other locations
Larsen & Toubro Limited,75300.0,1800.0,23600.0,75.0,2500.0,Engineering & Construction | Chennai +761 other locations
Deloitte,250000.0,3300.0,22800.0,1700.0,2400.0,Management Consulting | Hyderabad +189 other locations
Kotak Mahindra Bank,87100.0,1400.0,22200.0,162.0,1300.0,Banking | Mumbai +688 other locations
Reliance Industries,73100.0,1600.0,20000.0,85.0,1800.0,Oil & Gas | Jamnagar +819 other locations
Vodafone Idea,49600.0,684.0,17500.0,62.0,2000.0,Telecom | Pune +707 other locations
Bharti Airtel,49700.0,1100.0,17000.0,192.0,1600.0,Telecom | Gurugram +795 other locations
BYJU'S,53400.0,2100.0,16400.0,1.0,1700.0,EdTech | Bengaluru +322 other locations
WNS,69800.0,1200.0,15000.0,104.0,1300.0,IT Services & Consulting | Pune +66 other locations
IDFC FIRST Bank,49300.0,951.0,14300.0,43.0,692.0,Banking | Mumbai +719 other locations
Ernst & Young,140000.0,1300.0,14300.0,4600.0,1100.0,Management Consulting | Bengaluru +132 other locations
Tata Motors,42900.0,1300.0,14100.0,159.0,1600.0,Automobile | Pune +508 other locations
IndusInd Bank,51700.0,764.0,14100.0,96.0,796.0,Banking | Mumbai +796 other locations
AU Small Finance Bank,29600.0,694.0,14000.0,223.0,578.0,Banking | Jaipur +793 other locations
Muthoot FinCorp,9200.0,2400.0,13100.0,21.0,275.0,NBFC | Bengaluru +1118 other locations
Bajaj Finserv,30600.0,735.0,12900.0,11.0,707.0,NBFC | Pune +1177 other locations
Flipkart,54900.0,1700.0,12800.0,139.0,1400.0,Internet | Bengaluru +558 other locations
PwC,120000.0,1600.0,12300.0,1100.0,800.0,Management Consulting | Bengaluru +134 other locations
Mahindra & Mahindra,40400.0,851.0,12000.0,1.0,1200.0,Automobile | Pune +566 other locations
Infosys BPM,74700.0,1100.0,11900.0,66.0,1100.0,BPO | Bengaluru +96 other locations
DXC Technology,71900.0,896.0,11900.0,202.0,1100.0,IT Services & Consulting | Bengaluru +133 other locations
HDFC Life,32900.0,794.0,11900.0,105.0,613.0,Insurance | Mumbai +706 other locations
Bandhan Bank,24800.0,751.0,10900.0,32.0,517.0,Banking | Kolkata +1001 other locations
Digitide Solutions,26700.0,567.0,10200.0,334.0,772.0,IT Services & Consulting | Hyderabad +271 other locations
Mphasis,74100.0,926.0,10100.0,45.0,845.0,IT Services & Consulting | Bengaluru +64 other locations
Yes Bank,43300.0,552.0,10100.0,200.0,608.0,Banking | Mumbai +543 other locations
Tata Steel,34400.0,1100.0,9800.0,0.0,659.0,Iron & Steel | Jamshedpur +230 other locations
Quess,31200.0,539.0,9600.0,42.0,440.0,Recruitment | Bengaluru +745 other locations
Maruti Suzuki,28500.0,783.0,9500.0,787.0,1100.0,Automobile | Gurugram +455 other locations
Asian Paints,25800.0,858.0,9500.0,67.0,884.0,Chemicals | Mumbai +553 other locations
Startek,24500.0,632.0,9400.0,219.0,681.0,BPO | Bengaluru +103 other locations
UltraTech Cement,24900.0,796.0,9300.0,32.0,619.0,Building Material | Mumbai +541 other locations
Paytm,34300.0,890.0,9200.0,280.0,582.0,FinTech | Noida +420 other locations
Bajaj Finance,22800.0,435.0,9100.0,6700.0,503.0,NBFC | Pune +980 other locations
Shriram Finance,15000.0,447.0,9000.0,17.0,21.0,NBFC | Chennai +1116 other locations
Sutherland Global Services,35200.0,791.0,8900.0,257.0,902.0,BPO | Chennai +84 other locations
Equitas Small Finance Bank,13400.0,1000.0,8800.0,26.0,397.0,Banking | Chennai +484 other locations
Cipla,26300.0,596.0,8500.0,73.0,857.0,Pharma | Mumbai +294 other locations
EXL Service,44400.0,904.0,8500.0,290.0,799.0,Analytics & KPO | Noida +61 other locations
Wells Fargo,57000.0,687.0,8500.0,551.0,855.0,Financial Services | Bengaluru +27 other locations
Ericsson,42300.0,473.0,8300.0,38.0,998.0,Telecom | Noida +163 other locations
Samsung,26400.0,628.0,8300.0,18.0,521.0,Consumer Electronics & Appliances | Noida +585 other locations
Dr. Reddy's,26000.0,509.0,8100.0,11.0,740.0,Pharma | Hyderabad +215 other locations
Optum Global Solutions,49800.0,764.0,7800.0,121.0,686.0,IT Services & Consulting | Hyderabad +68 other locations
JPMorgan Chase & Co.,88700.0,872.0,7700.0,1000.0,846.0,Financial Services | Bengaluru +55 other locations
JSW Steel,31400.0,818.0,7700.0,132.0,602.0,Iron & Steel | Ballari +194 other locations
Delhivery,21300.0,609.0,7700.0,190.0,656.0,Logistics | Gurugram +760 other locations
ICICI Prudential Life Insurance,23300.0,479.0,7700.0,220.0,625.0,Insurance | Mumbai +506 other locations
Hexaware Technologies,54100.0,827.0,7600.0,534.0,547.0,IT Services & Consulting | Chennai +69 other locations
HGS,20500.0,274.0,7500.0,16.0,968.0,BPO | Bengaluru +122 other locations
Jana Small Finance Bank,14400.0,307.0,7500.0,42.0,623.0,Banking | Bengaluru +419 other locations
Ujjivan Small Finance Bank,13300.0,323.0,7500.0,594.0,580.0,Banking | Bengaluru +537 other locations
Sun Pharmaceutical Industries,23300.0,667.0,7500.0,386.0,594.0,Pharma | Vadodara +264 other locations
Amazon Development Centre India,38600.0,889.0,7500.0,4.0,360.0,Internet | Hyderabad +146 other locations
Lupin,22500.0,444.0,7300.0,19.0,764.0,Pharma | Pune +205 other locations
Ekart Logistics,16100.000000000002,407.0,7300.0,0.0,422.0,Logistics | Bengaluru +741 other locations
Zydus Lifesciences,20000.0,450.0,7300.0,50.0,605.0,Pharma | Ahmedabad +178 other locations
L&T Construction,19300.0,948.0,7300.0,0.0,929.0,Engineering & Construction | Chennai +433 other locations
Hindustan Unilever,20500.0,470.0,7200.0,51.0,704.0,FMCG | Mumbai +540 other locations
KPMG India,66000.0,931.0,7200.0,69.0,749.0,Management Consulting | Bengaluru +112 other locations
ITC,24800.0,695.0,7100.0,89.0,638.0,FMCG | Bengaluru +377 other locations
Axis Max Life Insurance,20300.0,407.0,7100.0,157.0,495.0,Insurance | New Delhi +503 other locations
Megha Engineering & Infrastructures,18700.0,566.0,6900.0,34.0,539.0,Engineering & Construction | Hyderabad +405 other locations
Tata Projects,22700.0,601.0,6800.0,52.0,540.0,Engineering & Construction | Mumbai +287 other locations
